Date;Libelle;Montant;Devise;Solde
02.01.2024;Microsoft 365 Business Premium;-85.00;CHF;24915.00
03.01.2024;Commission de tenue de compte PostFinance;-35.00;CHF;24880.00
04.01.2024;Salesforce CRM Monthly;-290.00;CHF;24590.00
05.01.2024;AWS Cloud Services janvier;-320.00;CHF;24270.00
08.01.2024;Zoom Video Communications;-149.00;CHF;24121.00
09.01.2024;Figma Professional;-45.00;CHF;24076.00
10.01.2024;HubSpot Marketing Hub;-450.00;CHF;23626.00
12.01.2024;Dropbox Business;-120.00;CHF;23506.00
15.01.2024;Google Workspace Business;-60.00;CHF;23446.00
16.01.2024;GitHub - EUR 45.00 frais en devise etrangere;-48.60;CHF;23397.40
18.01.2024;Swisscom Business Internet;-180.00;CHF;23217.40
22.01.2024;PayPal - USD 120.00 conversion devise;-109.20;CHF;23108.20
25.01.2024;Datadog Infrastructure Monitoring;-180.00;CHF;22928.20
28.01.2024;Adobe Creative Cloud Team;-89.00;CHF;22839.20
30.01.2024;Slack Business+;-87.50;CHF;22751.70
31.01.2024;Virement salaires employes;-18500.00;CHF;4251.70
01.02.2024;Versement client Hotel Bellevue;25000.00;CHF;29251.70
02.02.2024;Microsoft 365 Business Premium;-85.00;CHF;29166.70
03.02.2024;Commission de tenue de compte PostFinance;-35.00;CHF;29131.70
05.02.2024;Salesforce CRM Monthly;-290.00;CHF;28841.70
06.02.2024;AWS Cloud Services fevrier;-345.00;CHF;28496.70
07.02.2024;Zoom Video Communications;-149.00;CHF;28347.70
08.02.2024;Figma Professional;-45.00;CHF;28302.70
09.02.2024;HubSpot Marketing Hub;-450.00;CHF;27852.70
12.02.2024;Dropbox Business;-120.00;CHF;27732.70
14.02.2024;Google Workspace Business;-60.00;CHF;27672.70
15.02.2024;GitHub - EUR 45.00 frais en devise etrangere;-48.90;CHF;27623.80
16.02.2024;Frais de retard de paiement PostFinance;-25.00;CHF;27598.80
19.02.2024;Swisscom Business Internet;-180.00;CHF;27418.80
21.02.2024;PayPal - USD 89.00 conversion devise;-80.50;CHF;27338.30
23.02.2024;Datadog Infrastructure Monitoring;-182.00;CHF;27156.30
26.02.2024;Adobe Creative Cloud Team;-89.00;CHF;27067.30
27.02.2024;Slack Business+;-87.50;CHF;26979.80
29.02.2024;Virement salaires employes;-18500.00;CHF;8479.80
01.03.2024;Versement client Restaurant Le Lac;18000.00;CHF;26479.80
01.03.2024;Adobe Creative Cloud Team;-89.00;CHF;26390.80
02.03.2024;Microsoft 365 Business Premium;-85.00;CHF;26305.80
03.03.2024;Commission de tenue de compte PostFinance;-35.00;CHF;26270.80
04.03.2024;Adobe Creative Cloud Team;-89.00;CHF;26181.80
05.03.2024;Salesforce CRM Monthly;-290.00;CHF;25891.80
06.03.2024;AWS Cloud Services mars;-360.00;CHF;25531.80
07.03.2024;Zoom Video Communications;-149.00;CHF;25382.80
08.03.2024;Figma Professional;-45.00;CHF;25337.80
09.03.2024;HubSpot Marketing Hub;-450.00;CHF;24887.80
11.03.2024;Dropbox Business;-120.00;CHF;24767.80
13.03.2024;Google Workspace Business;-60.00;CHF;24707.80
14.03.2024;GitHub - EUR 45.00 frais en devise etrangere;-49.05;CHF;24658.75
15.03.2024;Swisscom Business Internet;-195.00;CHF;24463.75
18.03.2024;PayPal - USD 156.00 conversion devise;-141.30;CHF;24322.45
20.03.2024;Rappel de paiement impaye Sunrise;-45.00;CHF;24277.45
22.03.2024;Datadog Infrastructure Monitoring;-184.00;CHF;24093.45
27.03.2024;Slack Business+;-87.50;CHF;24005.95
29.03.2024;Virement salaires employes;-18500.00;CHF;5505.95
01.04.2024;Versement client Catering Grill AG;22000.00;CHF;27505.95
02.04.2024;Microsoft 365 Business Premium;-92.00;CHF;27413.95
03.04.2024;Commission de tenue de compte PostFinance;-35.00;CHF;27378.95
04.04.2024;Salesforce CRM Monthly;-290.00;CHF;27088.95
05.04.2024;AWS Cloud Services avril;-375.00;CHF;26713.95
07.04.2024;Zoom Video Communications;-149.00;CHF;26564.95
09.04.2024;HubSpot Marketing Hub;-450.00;CHF;26114.95
10.04.2024;Dropbox Business;-120.00;CHF;25994.95
12.04.2024;Google Workspace Business;-60.00;CHF;25934.95
15.04.2024;GitHub - EUR 45.00 frais en devise etrangere;-49.20;CHF;25885.75
17.04.2024;Swisscom Business Internet;-195.00;CHF;25690.75
19.04.2024;PayPal - USD 67.00 conversion devise;-61.10;CHF;25629.65
22.04.2024;Datadog Infrastructure Monitoring;-185.00;CHF;25444.65
